gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Rtl3,38.9299877907463,4.19090137809634,0.729961560124783,4.37132796081874,1.23493134982221e-05,0.0015409260317767
Gm49165,15.0649551724019,4.14409951589654,0.693705206110355,4.53232798053468,5.83371779720532e-06,0.0009018360547471
Tfrc,21250.4179501444,3.90017449085435,0.433391876840758,6.69180629779076,2.20432529502428e-11,3.50503467089539e-08
Gm26788,32.6686462075492,3.31485253496496,0.53288778702169,4.34397745893685,1.39925879199568e-05,0.0016657165758618
E330011M16Rik,14.2489379558642,3.23376597547038,0.621407962412855,3.59468515143727,0.0003247841053775,0.0179851218154444
Hapln1,8067.14229727968,3.23149504867482,0.266979627599453,8.35829710581031,6.36300337755733e-17,7.08234090939019e-13
Tnn,15.4825640407491,3.16461328180343,0.576203052240257,3.75668485855375,0.0001721790967777,0.0110457604419862
Zscan4.ps1,13.8898434850316,3.11988972101125,0.634459957406205,3.34125061206032,0.0008340190453967,0.0367645504348081
Gm12094,39.5416190879172,3.10090317933253,0.471223040426233,4.45840504197802,8.25717618008415e-06,0.0011633734110433
B3galt2,200.589190994305,3.06440272461895,0.481494349036346,4.28749107596092,1.80702514695246e-05,0.002021416421925
Mest,67376.5901796211,3.00025936870321,0.445921355933174,4.48567744533628,7.26826274635059e-06,0.0010575084771013
X1110015O18Rik,21.8375675189764,2.95588912315731,0.453214658073768,4.31559105230651,1.59176423046709e-05,0.0018265084296096
ENSMUSG00000120133,49.9706594829545,2.70275138293617,0.369935967236297,4.6028273370038,4.16793755246934e-06,0.000697612465079
M1ap,63.4006544283337,2.68641419583438,0.415829999023055,4.05553759901021,5.00191252729313e-05,0.0044361583573734
C030005K06Rik,27.2866769462904,2.6612182671917,0.425533094393942,3.90385210710265,9.46736465172692e-05,0.0070426165813813
Mroh2b,202.66263118647,2.63708294944564,0.417979141879688,3.91666182691208,8.97835546284448e-05,0.0068529931713132
X9430002A10Rik,34.674061805246,2.60582598246917,0.442533663721128,3.6287092126874,0.0002848418629051,0.016134515801864
BC049715,114.905449876553,2.4953590439854,0.360360861416579,4.14961557730531,3.33034101340682e-05,0.0031955483318728
X5730414N17Rik,46.0686534043894,2.40575330952843,0.341830424482158,4.11242887948906,3.9151810256338e-05,0.003677461806398
Tssk6,245.926175771816,2.3599359697916,0.332723425511049,4.08728651342417,4.36447985172194e-05,0.0039818723761959
Gm56350,258.973268707707,2.26805313567344,0.248853505356341,5.09558076691618,3.4767375323388e-07,0.0001045887219018
Hmgn2.ps,343.114120369801,2.17074884081522,0.304255938049159,3.84790794329891,0.000119130799039,0.0084189546584401
Gm54639,42.3422539679676,2.12486072887055,0.29121166368343,3.86269119389862,0.0001121447329722,0.0080886842300256
Gm10353,49.2505789611513,2.09015834900638,0.333810335730368,3.26580166135703,0.0010915467371608,0.044341098386747
Gm15853,118.511535873474,2.08409133175123,0.289879359068198,3.73980174109666,0.0001841654544187,0.0116139013620848
Eif1ad15,33.9380794437543,2.0712631482601,0.328914615534369,3.25696426265424,0.0011261060977241,0.0453313704185137
Id2,11173.7483833002,2.04822806921892,0.231738545285013,4.52332203919601,6.0876506710642e-06,0.0009281999423873
Slc18a1,48.0863543073471,2.04532314295273,0.29409638502878,3.55435563361458,0.0003789064703886,0.0201233812507169
A330084C13Rik,80.3497264838481,1.9764100935763,0.241220330165429,4.04779353757903,5.17027209512545e-05,0.0045656003694277
B230377A18Rik,139.302427058161,1.95455393054466,0.228918644713712,4.16983916595538,3.04814675383475e-05,0.0029502084733528
Gm6724,279.15121800436,1.89462752841752,0.274284835973667,3.26167330848509,0.0011075670601392,0.0448282733195625
Cyp26b1,1450.15080229545,1.8543029774239,0.15598749724854,5.47674007528121,4.33232864977005e-08,2.14315484605625e-05
Ntm,8642.97226363621,1.66718874532405,0.203786666027274,3.27395682127089,0.0010605281533451,0.0435579653535358
Gm42815,123.529380441558,1.64047519900283,0.186633815658709,3.43172107767461,0.000599764061748,0.028346810570221
Slc1a1,301.31967261738,1.51867497727494,0.136680088320541,3.79481008278655,0.0001477565141183,0.0097602604177699
Cdkn2b,2899.22715173348,-1.45408246385365,0.0982289769464779,-4.62269360802839,3.78788998850747e-06,0.0006508213583595
Tesc,1794.08550709781,-1.52801514257645,0.149472736232764,-3.53251807576606,0.0004116220851348,0.0215096695708618
Pak1,2768.32388907339,-1.55164404059576,0.14468779462449,-3.81265083227959,0.0001374842754827,0.009191726243668
Gata6,327.205276567855,-1.55887385501775,0.158266725375555,-3.53121512871125,0.0004136551664957,0.0215286184562762
Astn2,127.01896304883,-1.57108707602411,0.171302436730099,-3.33379423506919,0.0008567000798416,0.0373941185830473
Septin5,267.366995593927,-1.5808356315303,0.172090845864169,-3.37516867102132,0.0007377046215198,0.0331089568138156
Dnm1,2763.6900337426,-1.59022511563412,0.151086004789891,-3.906550553474,9.36230630170575e-05,0.007007049643497
Cyp1a1,137.527591430505,-1.65501167396819,0.172984422390047,-3.78653560198189,0.0001527622175222,0.0100018815419499
Pik3ap1,439.999367565252,-1.68376837341924,0.186493841756969,-3.66643942222123,0.0002459511485671,0.0142953486116291
Gm36696,282.038764994604,-1.69565265893868,0.172095232119367,-4.04225410763366,5.29398164625088e-05,0.0045975779356349
Gm49891,111.715165793805,-1.69638060585633,0.17998739959837,-3.86905198591824,0.0001092593467571,0.0079225482676273
Vdr,3519.94876067033,-1.71089615853586,0.155861788237056,-4.56106763932819,5.08941819844543e-06,0.0008209821631564
Tulp2,389.599662912555,-1.71147885803034,0.214000542066429,-3.32465913945905,0.0008852669447491,0.0381091903031277
Acer2,93.2646139881521,-1.71848897938418,0.205875872167056,-3.4899134698075,0.0004831769692671,0.0241264519530056
